"","Uniprot_InteractorA","Uniprot_InteractorB","Confidence.value.s.","InteractorA","InteractorB"
"24852","uniprotkb:Q02354","uniprotkb:Q12136","author score:0.76|intact-miscore:0.63","YDR449C","YDL153C"
"24853","uniprotkb:Q12136","uniprotkb:Q12136","author score:1|intact-miscore:0.63","YDL153C","YDL153C"
"24854","uniprotkb:Q99207","uniprotkb:Q12136","author score:0.94|intact-miscore:0.51","YDL148C","YDL153C"
"24855","uniprotkb:P25586","uniprotkb:Q12136","author score:0.63|intact-miscore:0.51","YCL059C","YDL153C"
"24856","uniprotkb:Q12136","uniprotkb:P40498","author score:1|intact-miscore:0.81","YDL153C","YIL091C"
"24857","uniprotkb:P53254","uniprotkb:P40498","author score:0.92|intact-miscore:0.51","YGR090W","YIL091C"
"24858","uniprotkb:Q12481","uniprotkb:P40498","author score:0.84|intact-miscore:0.51","YOR287C","YIL091C"
"24859","uniprotkb:P47083","uniprotkb:P40498","author score:0.78|intact-miscore:0.81","YJR002W","YIL091C"
"24860","uniprotkb:P36009","uniprotkb:P40498","author score:0.84|intact-miscore:0.51","YKL078W","YIL091C"
"24861","uniprotkb:P53254","uniprotkb:Q99207","author score:0.78|intact-miscore:0.72","YGR090W","YDL148C"
"24862","uniprotkb:Q06512","uniprotkb:Q99207","author score:0.63|intact-miscore:0.84","YPR144C","YDL148C"
"24863","uniprotkb:P53254","uniprotkb:P40362","author score:0.99|intact-miscore:0.72","YGR090W","YJL069C"
"24864","uniprotkb:P25586","uniprotkb:P40362","author score:0.84|intact-miscore:0.51","YCL059C","YJL069C"
"24865","uniprotkb:P32899","uniprotkb:P40362","author score:0.75|intact-miscore:0.51","YHR148W","YJL069C"
"24866","uniprotkb:P36009","uniprotkb:P40362","author score:0.84|intact-miscore:0.51","YKL078W","YJL069C"
"24867","uniprotkb:Q12136","uniprotkb:Q12481","author score:0.94|intact-miscore:0.51","YDL153C","YOR287C"
"24868","uniprotkb:P53254","uniprotkb:P45818","author score:0.99|intact-miscore:0.63","YGR090W","YGL171W"
"24869","uniprotkb:P36009","uniprotkb:P53131","author score:0.63|intact-miscore:0.51","YKL078W","YGL120C"
"24870","uniprotkb:P53254","uniprotkb:P53866","author score:0.63|intact-miscore:0.51","YGR090W","YNL224C"
"24871","uniprotkb:P53131","uniprotkb:P53866","author score:0.99|intact-miscore:0.91","YGL120C","YNL224C"
"24872","uniprotkb:P25586","uniprotkb:P53866","author score:0.99|intact-miscore:0.51","YCL059C","YNL224C"
"24873","uniprotkb:P32899","uniprotkb:P53866","author score:0.7|intact-miscore:0.51","YHR148W","YNL224C"
"24874","uniprotkb:Q02354","uniprotkb:P47083","author score:0.99|intact-miscore:0.82","YDR449C","YJR002W"
"24875","uniprotkb:P53254","uniprotkb:P47083","author score:0.75|intact-miscore:0.72","YGR090W","YJR002W"
"24876","uniprotkb:P42945","uniprotkb:P47083","author score:0.7|intact-miscore:0.85","YJL109C","YJR002W"
"24877","uniprotkb:P47083","uniprotkb:P47083","author score:0.65|intact-miscore:0.51","YJR002W","YJR002W"
"24878","uniprotkb:P32899","uniprotkb:Q04177","author score:0.63|intact-miscore:0.51","YHR148W","YDR398W"
"24879","uniprotkb:Q05498","uniprotkb:P25586","intact-miscore:0.35","YDR339C","YCL059C"
"24880","uniprotkb:Q05498","uniprotkb:Q99207","intact-miscore:0.35","YDR339C","YDL148C"
"24881","uniprotkb:Q05498","uniprotkb:P47077","intact-miscore:0.35","YDR339C","YJL010C"
"24882","uniprotkb:Q05498","uniprotkb:P36144","intact-miscore:0.35","YDR339C","YKR060W"
"24883","uniprotkb:Q05498","uniprotkb:P45818","intact-miscore:0.35","YDR339C","YGL171W"
"24884","uniprotkb:Q05498","uniprotkb:P25368","intact-miscore:0.35","YDR339C","YCL031C"
"24885","uniprotkb:Q05498","uniprotkb:Q12136","intact-miscore:0.35","YDR339C","YDL153C"
"24886","uniprotkb:Q05498","uniprotkb:P34247","intact-miscore:0.35","YDR339C","YKL099C"
"24887","uniprotkb:Q05498","uniprotkb:P35194","intact-miscore:0.35","YDR339C","YBL004W"
"24888","uniprotkb:Q05498","uniprotkb:P40055","intact-miscore:0.35","YDR339C","YER082C"
"24889","uniprotkb:Q02647","uniprotkb:P40960","intact-miscore:0.81","YDR424C","YDR488C"
"24890","uniprotkb:Q02647","uniprotkb:Q02647","intact-miscore:0.44","YDR424C","YDR424C"
"24891","uniprotkb:P36022","uniprotkb:Q02647","intact-miscore:0.43","YKR054C","YDR424C"
"24892","uniprotkb:P36022","uniprotkb:P40960","intact-miscore:0.54","YKR054C","YDR488C"
"24893","uniprotkb:P18494","uniprotkb:P23202","intact-miscore:0.71","YER040W","YNL229C"
"24894","uniprotkb:P34730","uniprotkb:P33748","intact-miscore:0.40","YDR099W","YMR037C"
"24895","uniprotkb:P33749","uniprotkb:P34730","intact-miscore:0.40","YKL062W","YDR099W"
"24896","uniprotkb:Q03761","uniprotkb:P50105","intact-miscore:0.92","YDR145W","YMR005W"
"24897","uniprotkb:Q03761","uniprotkb:P53040","intact-miscore:0.84","YDR145W","YGL112C"
"24898","uniprotkb:Q03761","uniprotkb:Q05027","intact-miscore:0.79","YDR145W","YMR236W"
"24899","uniprotkb:Q99257","uniprotkb:Q12159","intact-miscore:0.59","YPL169C","YDR381W"
"24900","uniprotkb:Q07478","uniprotkb:Q12159","intact-miscore:0.67","YDL084W","YDR381W"
"24901","uniprotkb:P06103","uniprotkb:Q05911","intact-miscore:0.56","YOR361C","YLR359W"
"24902","uniprotkb:P35817","uniprotkb:Q07442","intact-miscore:0.86","YLR399C","YDL070W"
"24903","uniprotkb:P38891","uniprotkb:P47176","intact-miscore:0.61","YHR208W","YJR148W"
"24904","uniprotkb:P20133","uniprotkb:Q00618","intact-miscore:0.69","YPR176C","YJL031C"
"24905","uniprotkb:P28495","uniprotkb:P13517","intact-miscore:0.75","YKL007W","YIL034C"
"24906","uniprotkb:P00925","uniprotkb:P21269","intact-miscore:0.56","YHR174W","YER168C"
"24907","uniprotkb:Q12329","uniprotkb:Q00684","intact-miscore:0.61","YDR171W","YFR028C"
"24908","uniprotkb:P53199","uniprotkb:P38132","intact-miscore:0.63","YGL001C","YBR202W"
"24909","uniprotkb:P80428","uniprotkb:P31376","intact-miscore:0.69","YJL081C","YAL011W"
"24910","uniprotkb:P80428","uniprotkb:P53201","intact-miscore:0.72","YJL081C","YGR002C"
"24911","uniprotkb:P80428","uniprotkb:Q05471","intact-miscore:0.83","YJL081C","YDR334W"
"24912","uniprotkb:P80428","uniprotkb:Q03433","intact-miscore:0.69","YJL081C","YML041C"
"24913","uniprotkb:P80428","uniprotkb:Q03388","intact-miscore:0.69","YJL081C","YDR485C"
"24914","uniprotkb:P35817","uniprotkb:Q05471","intact-miscore:0.67","YLR399C","YDR334W"
"24915","uniprotkb:Q12464","uniprotkb:P53201","intact-miscore:0.72","YPL235W","YGR002C"
"24916","uniprotkb:P53930","uniprotkb:P35817","intact-miscore:0.50","YNL107W","YLR399C"
"24917","uniprotkb:P53201","uniprotkb:P35817","intact-miscore:0.40","YGR002C","YLR399C"
"24918","uniprotkb:P21957","uniprotkb:P40075","intact-miscore:0.59","YHL020C","YER120W"
"24919","uniprotkb:P02994","uniprotkb:P60010","intact-miscore:0.44","YBR118W","YFL039C"
"24920","uniprotkb:P19658","uniprotkb:Q00245","intact-miscore:0.67","YJL085W","YIL118W"
"24921","uniprotkb:P32855","uniprotkb:P19658","intact-miscore:0.64","YPR055W","YJL085W"
"24922","uniprotkb:P22224","uniprotkb:P19658","intact-miscore:0.63","YGL233W","YJL085W"
"24923","uniprotkb:P38261","uniprotkb:P19658","intact-miscore:0.63","YBR102C","YJL085W"
"24924","uniprotkb:Q06245","uniprotkb:P19658","intact-miscore:0.63","YLR166C","YJL085W"
"24925","uniprotkb:P53201","uniprotkb:Q05471","intact-miscore:0.88","YGR002C","YDR334W"
"24926","uniprotkb:Q03388","uniprotkb:Q12692","intact-miscore:0.78","YDR485C","YOL012C"
"24927","uniprotkb:P04911","uniprotkb:Q03388","intact-miscore:0.40","YDR225W","YDR485C"
"24928","uniprotkb:Q03433","uniprotkb:Q12692","intact-miscore:0.74","YML041C","YOL012C"
"24929","uniprotkb:Q12692","uniprotkb:Q05471","intact-miscore:0.74","YOL012C","YDR334W"
"24930","uniprotkb:P53550","uniprotkb:Q12517","intact-miscore:0.83","YNL118C","YOL149W"
"24931","uniprotkb:P32767","uniprotkb:Q12363","intact-miscore:0.40","YGL016W","YOR230W"
"24932","uniprotkb:P15873","uniprotkb:P15873","intact-miscore:0.92","YBR088C","YBR088C"
"24933","uniprotkb:P06782","uniprotkb:P06782","intact-miscore:0.74","YDR477W","YDR477W"
"24934","uniprotkb:P39083","uniprotkb:Q12518","intact-miscore:0.53","YOR127W","YDL161W"
"24935","uniprotkb:P32873","uniprotkb:Q05785","intact-miscore:0.37","YPL115C","YLR206W"
"24936","uniprotkb:P39083","uniprotkb:Q05785","intact-miscore:0.53","YOR127W","YLR206W"
"24937","uniprotkb:P40020","uniprotkb:Q12518","intact-miscore:0.37","YER032W","YDL161W"
"24938","uniprotkb:P53939","uniprotkb:Q12518","intact-miscore:0.37","YNL078W","YDL161W"
"24939","uniprotkb:Q05785","uniprotkb:Q06407","intact-miscore:0.53","YLR206W","YDR379W"
"24940","uniprotkb:P32873","uniprotkb:Q12518","intact-miscore:0.37","YPL115C","YDL161W"
"24941","uniprotkb:Q12518","uniprotkb:Q06407","intact-miscore:0.64","YDL161W","YDR379W"
"24942","uniprotkb:P39929","uniprotkb:Q06263","intact-miscore:0.57","YLR025W","YLR181C"
"24943","uniprotkb:P69771","uniprotkb:Q06263","intact-miscore:0.66","YKR035W-A","YLR181C"
"24944","uniprotkb:P36057","uniprotkb:P36057","intact-miscore:0.56","YKL154W","YKL154W"
"24945","uniprotkb:P32916","uniprotkb:P36057","intact-miscore:0.82","YDR292C","YKL154W"
"24946","uniprotkb:P32844","uniprotkb:P32855","intact-miscore:0.59","YIL068C","YPR055W"
"24947","uniprotkb:Q06245","uniprotkb:P32844","intact-miscore:0.59","YLR166C","YIL068C"
"24948","uniprotkb:P19658","uniprotkb:P32844","intact-miscore:0.73","YJL085W","YIL068C"
