protein_id_ensemble,gene_id_ensemble,gene_symbol,QTL_type,percent_variance,p_val,significant_eQTL,Significant_eQTL_rep,Significant_pQTL
ENSMUSP00000080601,ENSMUSG00000049502,Dtx3l,DISTANT,16.35,0.084,1,0,0
ENSMUSP00000081271,ENSMUSG00000028896,Rcc1,LOCAL,28.92,0,1,1,1
ENSMUSP00000099628,ENSMUSG00000066043,Phactr4,LOCAL,22.65,0,1,0,0
ENSMUSP00000030742,ENSMUSG00000028910,Mecr,LOCAL,23.26,0,1,0,1
ENSMUSP00000081263,ENSMUSG00000028868,Wasf2,LOCAL,17.68,0.028,1,0,0
ENSMUSP00000030665,ENSMUSG00000028851,Nudc,LOCAL,26.02,0,1,1,1
ENSMUSP00000095498,ENSMUSG00000041530,Ago1,LOCAL,16.63,0.067,1,0,0
ENSMUSP00000030661,ENSMUSG00000028848,Gpn2,LOCAL,16.88,0.054,1,0,0
ENSMUSP00000040647,ENSMUSG00000037622,Wdtc1,LOCAL,30.4,0,1,1,0
ENSMUSP00000030669,ENSMUSG00000028854,Slc9a1,LOCAL,18.81,0.009,1,1,0
ENSMUSP00000101514,ENSMUSG00000003644,Rps6ka1,LOCAL,33.85,0,1,1,1
ENSMUSP00000099609,ENSMUSG00000046671,Mtfr1l,LOCAL,44.28,0,1,1,0
ENSMUSP00000041453,ENSMUSG00000037242,Clic4,LOCAL,21.46,0.001,1,1,0
ENSMUSP00000099592,ENSMUSG00000001604,Tcea3,LOCAL,46.51,0,1,1,1
ENSMUSP00000030432,ENSMUSG00000028672,Hmgcl,LOCAL,22.07,0,1,1,0
ENSMUSP00000029444,ENSMUSG00000033014,Trim33,DISTANT,16.66,0.066,1,0,0
ENSMUSP00000030434,ENSMUSG00000028673,Fuca1,LOCAL,30.16,0,1,1,1
ENSMUSP00000048469,ENSMUSG00000037805,Rpl10a,DISTANT,16.77,0.06,1,0,0
ENSMUSP00000130758,ENSMUSG00000001089,Luzp1,LOCAL,23.2,0,1,1,0
ENSMUSP00000030547,ENSMUSG00000028763,Hspg2,LOCAL,34.6,0,1,1,0
ENSMUSP00000030551,ENSMUSG00000028766,Alpl,LOCAL,17.33,0.039,1,0,0
ENSMUSP00000081233,ENSMUSG00000028760,Eif4g3,LOCAL,53.86,0,1,1,1
ENSMUSP00000022063,ENSMUSG00000021578,Ccdc127,DISTANT,16.21,0.094,1,0,0
ENSMUSP00000099576,ENSMUSG00000057530,Ece1,LOCAL,48.66,0,1,1,0
ENSMUSP00000039604,ENSMUSG00000041241,Mul1,LOCAL,45.65,0,1,1,0
ENSMUSP00000101453,ENSMUSG00000028759,Hp1bp3,LOCAL,31.82,0,1,1,0
ENSMUSP00000099561,ENSMUSG00000028741,Mrto4,LOCAL,22.72,0,1,0,0
ENSMUSP00000073459,ENSMUSG00000028743,Akr7a5,LOCAL,37.71,0,1,1,1
ENSMUSP00000049034,ENSMUSG00000078517,Emc1,LOCAL,34.42,0,1,1,0
ENSMUSP00000043821,ENSMUSG00000028737,Aldh4a1,LOCAL,26.63,0,1,0,1
ENSMUSP00000038011,ENSMUSG00000028745,Capzb,LOCAL,23.03,0,1,0,0
ENSMUSP00000100648,ENSMUSG00000078234,Klhdc7a,LOCAL,33.69,0,1,1,1
ENSMUSP00000019422,ENSMUSG00000019278,Dpep1,DISTANT,16.93,0.052,1,0,0
ENSMUSP00000101406,ENSMUSG00000051435,Fhad1,LOCAL,19.75,0.004,1,1,0
ENSMUSP00000120973,ENSMUSG00000043085,Tmem82,LOCAL,31.96,0,1,1,1
ENSMUSP00000048714,ENSMUSG00000040697,Dnajc16,LOCAL,20.96,0.001,1,0,0
ENSMUSP00000040853,ENSMUSG00000040706,Agmat,LOCAL,50.05,0,1,1,1
ENSMUSP00000042919,ENSMUSG00000040616,Tmem51,LOCAL,40.3,0,1,1,1
ENSMUSP00000122552,ENSMUSG00000066026,Dhrs3,LOCAL,19.65,0.004,1,1,0
ENSMUSP00000089459,ENSMUSG00000045410,Akr1e1,DISTANT,71.63,0,1,1,1
ENSMUSP00000101331,ENSMUSG00000055401,Fbxo6,LOCAL,24.02,0,1,1,1
ENSMUSP00000019199,ENSMUSG00000019055,Plod1,LOCAL,28.24,0,1,1,0
ENSMUSP00000049729,ENSMUSG00000028979,Masp2,LOCAL,30.61,0,1,1,1
ENSMUSP00000099506,ENSMUSG00000028975,Pex14,LOCAL,18.82,0.009,1,0,1
ENSMUSP00000099505,ENSMUSG00000028974,Dffa,LOCAL,48.34,0,1,1,1
ENSMUSP00000030845,ENSMUSG00000028992,Nmnat1,LOCAL,23.06,0,1,0,0
ENSMUSP00000101312,ENSMUSG00000044700,Tmem201,LOCAL,35.19,0,1,1,0
ENSMUSP00000030842,ENSMUSG00000028990,Lzic,LOCAL,31.27,0,1,1,1
ENSMUSP00000030805,ENSMUSG00000028964,Park7,LOCAL,23.8,0,1,1,1
ENSMUSP00000030893,ENSMUSG00000029027,Dffb,LOCAL,23.81,0,1,0,0
ENSMUSP00000046837,ENSMUSG00000039515,Ppp2r4,DISTANT,16.93,0.052,1,0,0
ENSMUSP00000065409,ENSMUSG00000026411,Tmem9,DISTANT,25.5,0,1,1,0
ENSMUSP00000051163,ENSMUSG00000038244,Mical2,DISTANT,16.4,0.081,1,0,0
ENSMUSP00000099480,ENSMUSG00000028936,Rpl22,LOCAL,20.56,0.002,1,0,0
ENSMUSP00000054638,ENSMUSG00000047613,A430005L14Rik,LOCAL,51.13,0,1,1,1
ENSMUSP00000133124,ENSMUSG00000029028,Lrrc47,LOCAL,17.62,0.03,1,0,1
ENSMUSP00000030898,ENSMUSG00000029032,Arhgef16,LOCAL,61.51,0,1,1,1
ENSMUSP00000030896,ENSMUSG00000029030,Tprgl,LOCAL,19.66,0.004,1,1,0
ENSMUSP00000030931,ENSMUSG00000029056,Pank4,LOCAL,18.85,0.009,1,0,1
ENSMUSP00000030935,ENSMUSG00000029059,Fam213b,LOCAL,75.23,0,1,1,1
ENSMUSP00000030905,ENSMUSG00000029038,Ssu72,LOCAL,30.96,0,1,0,0
ENSMUSP00000101238,ENSMUSG00000029063,Nadk,LOCAL,43.28,0,1,1,1
ENSMUSP00000101223,ENSMUSG00000029062,Cdk11b,LOCAL,23.04,0,1,0,0
ENSMUSP00000030903,ENSMUSG00000029036,Atad3a,LOCAL,25.18,0,1,1,1
ENSMUSP00000030942,ENSMUSG00000029066,Mrpl20,LOCAL,41.98,0,1,0,0
ENSMUSP00000095344,ENSMUSG00000051557,Pusl1,LOCAL,40.94,0,1,1,1
ENSMUSP00000112656,ENSMUSG00000029034,Cpsf3l,LOCAL,35.08,0,1,1,0
ENSMUSP00000030950,ENSMUSG00000029073,Gltpd1,LOCAL,72.92,0,1,1,1
ENSMUSP00000030948,ENSMUSG00000029071,Dvl1,LOCAL,24.83,0,1,1,0
ENSMUSP00000101204,ENSMUSG00000029076,Sdf4,LOCAL,27.46,0,1,1,0
ENSMUSP00000137931,ENSMUSG00000041936,Agrn,LOCAL,22.99,0,1,0,0
ENSMUSP00000137253,ENSMUSG00000095567,Noc2l,LOCAL,63.78,0,1,1,0
ENSMUSP00000046129,ENSMUSG00000040407,Akap9,LOCAL,23.95,0,1,0,0
ENSMUSP00000067611,ENSMUSG00000054099,Slc25a40,LOCAL,23.02,0,1,1,1
ENSMUSP00000111101,ENSMUSG00000040464,Gtpbp10,LOCAL,30.53,0,1,1,0
ENSMUSP00000009058,ENSMUSG00000028970,Abcb1b,LOCAL,51.87,0,1,1,0
ENSMUSP00000086165,ENSMUSG00000003161,Sri,LOCAL,16.46,0.078,1,1,0
ENSMUSP00000132065,ENSMUSG00000062038,Gm10108,LOCAL,33.8,0,1,1,0
ENSMUSP00000092687,ENSMUSG00000028434,Epb4.1l4b,DISTANT,17.28,0.04,1,0,0
ENSMUSP00000099859,ENSMUSG00000041231,Ublcp1,DISTANT,17.24,0.041,1,0,0
ENSMUSP00000033163,ENSMUSG00000030876,Mettl9,DISTANT,16.69,0.063,1,0,0
ENSMUSP00000113801,ENSMUSG00000057541,Pus7,LOCAL,28.39,0,1,1,1
ENSMUSP00000030882,ENSMUSG00000029017,Pmpcb,LOCAL,52.3,0,1,1,0
ENSMUSP00000110729,ENSMUSG00000028973,Abcb8,LOCAL,16.25,0.092,1,1,0
ENSMUSP00000078654,ENSMUSG00000062328,Rpl17,DISTANT,19.71,0.004,1,0,0
ENSMUSP00000030769,ENSMUSG00000028932,Psmc2,LOCAL,17.85,0.024,1,1,0
ENSMUSP00000085734,ENSMUSG00000062604,Srpk2,LOCAL,23.65,0,1,1,0
ENSMUSP00000030852,ENSMUSG00000028999,Rint1,LOCAL,68.81,0,1,1,1
ENSMUSP00000120269,ENSMUSG00000038525,Armc10,LOCAL,32.75,0,1,1,1
ENSMUSP00000030834,ENSMUSG00000028978,Nos3,LOCAL,55.78,0,1,1,1
ENSMUSP00000024123,ENSMUSG00000023353,Agap3,LOCAL,21.3,0.001,1,1,1
ENSMUSP00000062766,ENSMUSG00000048439,Nupl2,LOCAL,20.45,0.002,1,1,0
ENSMUSP00000035860,ENSMUSG00000038135,Crygn,LOCAL,26.39,0,1,1,0
ENSMUSP00000030784,ENSMUSG00000028944,Prkag2,LOCAL,16.27,0.09,1,1,0
ENSMUSP00000008733,ENSMUSG00000029131,Dnajb6,LOCAL,19.95,0.003,1,1,0
ENSMUSP00000055208,ENSMUSG00000035762,Tmem161b,DISTANT,16.74,0.061,1,0,0
ENSMUSP00000038063,ENSMUSG00000034926,Dhcr24,DISTANT,16.55,0.073,1,0,0
ENSMUSP00000007251,ENSMUSG00000007036,Abhd16a,DISTANT,16.2,0.094,1,0,0
ENSMUSP00000046027,ENSMUSG00000057963,Itpk1,DISTANT,16.15,0.097,1,0,0
ENSMUSP00000031018,ENSMUSG00000029136,Rbks,LOCAL,22.46,0,1,1,1
ENSMUSP00000037484,ENSMUSG00000038828,Tmem214,LOCAL,28.48,0,1,1,0
ENSMUSP00000076217,ENSMUSG00000064037,Gpn1,LOCAL,31.02,0,1,1,0
ENSMUSP00000115292,ENSMUSG00000090262,Mpv17,LOCAL,50.78,0,1,1,1
ENSMUSP00000031024,ENSMUSG00000029142,Mrpl33,LOCAL,53.23,0,1,1,0
ENSMUSP00000110179,ENSMUSG00000029141,Slc4a1ap,LOCAL,32.33,0,1,1,1
ENSMUSP00000079434,ENSMUSG00000052139,Bre,LOCAL,17.67,0.028,1,1,0
ENSMUSP00000058680,ENSMUSG00000029175,Slc35f6,LOCAL,29.32,0,1,1,0
ENSMUSP00000058936,ENSMUSG00000038298,Pdzk1,DISTANT,17.19,0.043,1,0,0
ENSMUSP00000065721,ENSMUSG00000051864,Tbc1d22a,DISTANT,17.19,0.043,1,0,0
ENSMUSP00000110093,ENSMUSG00000079562,Maea,LOCAL,24.38,0,1,0,0
ENSMUSP00000051438,ENSMUSG00000023452,Pisd,LOCAL,35.43,0,1,1,1
ENSMUSP00000015100,ENSMUSG00000014956,Ppp1cb,LOCAL,21.01,0.001,1,0,0
ENSMUSP00000031002,ENSMUSG00000029119,Man2b2,LOCAL,18.85,0.009,1,1,1
ENSMUSP00000078945,ENSMUSG00000029104,Htt,LOCAL,35.29,0,1,1,1
ENSMUSP00000070890,ENSMUSG00000054520,Sh3bp2,LOCAL,53.77,0,1,1,0
ENSMUSP00000019439,ENSMUSG00000019295,Tmem129,LOCAL,32.47,0,1,1,0
ENSMUSP00000030985,ENSMUSG00000029102,Hgfac,LOCAL,20.92,0.001,1,1,0
ENSMUSP00000038382,ENSMUSG00000036693,Nop14,LOCAL,23.69,0,1,0,0
ENSMUSP00000072154,ENSMUSG00000014932,Yes1,LOCAL,17.28,0.04,1,0,0
ENSMUSP00000063412,ENSMUSG00000029098,Acox3,LOCAL,43.01,0,1,1,1
ENSMUSP00000030986,ENSMUSG00000029103,Lrpap1,LOCAL,28.56,0,1,1,0
ENSMUSP00000112998,ENSMUSG00000031453,Rasa3,DISTANT,17.29,0.04,1,0,0
ENSMUSP00000048053,ENSMUSG00000039474,Wfs1,LOCAL,22.45,0,1,0,1
ENSMUSP00000063352,ENSMUSG00000005107,Slc2a9,LOCAL,39.38,0,1,1,1
ENSMUSP00000058618,ENSMUSG00000061755,Bod1l,LOCAL,20.15,0.002,1,1,0
ENSMUSP00000125857,ENSMUSG00000039782,Cpeb2,LOCAL,19.88,0.003,1,0,0
ENSMUSP00000030964,ENSMUSG00000029084,Cd38,LOCAL,51.45,0,1,1,0
ENSMUSP00000062110,ENSMUSG00000046985,Tapt1,LOCAL,42.84,0,1,1,1
ENSMUSP00000015950,ENSMUSG00000015806,Qdpr,LOCAL,24.32,0,1,1,0
ENSMUSP00000040222,ENSMUSG00000039682,Lap3,LOCAL,21.83,0,1,1,1
ENSMUSP00000031072,ENSMUSG00000029176,Anapc4,LOCAL,19.19,0.006,1,1,0
ENSMUSP00000092380,ENSMUSG00000029188,Slc34a2,LOCAL,41.36,0,1,1,1
ENSMUSP00000031081,ENSMUSG00000029186,Pi4k2b,LOCAL,44.69,0,1,1,0
ENSMUSP00000000594,ENSMUSG00000000581,C1d,DISTANT,16.39,0.082,1,0,0
ENSMUSP00000030948,ENSMUSG00000029071,Dvl1,DISTANT,19.95,0.003,1,0,0
ENSMUSP00000005431,ENSMUSG00000005299,Letm1,DISTANT,17.27,0.04,1,0,0
ENSMUSP00000031080,ENSMUSG00000029185,Fam114a1,LOCAL,19.5,0.005,1,1,0
ENSMUSP00000109367,ENSMUSG00000037795,N4bp2,LOCAL,16.59,0.069,1,0,1
ENSMUSP00000031092,ENSMUSG00000029191,Rfc1,LOCAL,25.13,0,1,1,0
ENSMUSP00000031101,ENSMUSG00000029199,Lias,LOCAL,32.81,0,1,1,1
ENSMUSP00000027781,ENSMUSG00000026500,Cox20,DISTANT,16.45,0.078,1,0,0
ENSMUSP00000124047,ENSMUSG00000029221,Slc30a9,LOCAL,35.13,0,1,1,0
ENSMUSP00000084480,ENSMUSG00000029208,Guf1,LOCAL,28.65,0,1,1,1
ENSMUSP00000121014,ENSMUSG00000029209,Gnpda2,LOCAL,19.75,0.004,1,1,1
ENSMUSP00000013693,ENSMUSG00000029213,Commd8,LOCAL,49.7,0,1,1,1
ENSMUSP00000084462,ENSMUSG00000067219,Nipal1,LOCAL,16.73,0.062,1,0,0
ENSMUSP00000071836,ENSMUSG00000029217,Tec,LOCAL,41.92,0,1,1,1
ENSMUSP00000084467,ENSMUSG00000072889,Nfxl1,LOCAL,45.6,0,1,1,0
ENSMUSP00000031038,ENSMUSG00000029152,Ociad1,LOCAL,28.39,0,1,0,1
ENSMUSP00000084445,ENSMUSG00000029153,Ociad2,LOCAL,28.94,0,1,1,1
ENSMUSP00000084794,ENSMUSG00000038914,Dido1,DISTANT,16.98,0.049,1,0,0
ENSMUSP00000078469,ENSMUSG00000052488,Cherp,DISTANT,17.11,0.045,1,0,0
ENSMUSP00000072636,ENSMUSG00000062110,Scfd2,LOCAL,24.44,0,1,0,0
ENSMUSP00000098687,ENSMUSG00000070733,Fryl,LOCAL,19.32,0.005,1,0,0
ENSMUSP00000031143,ENSMUSG00000029233,Srd5a3,LOCAL,45.09,0,1,1,1
ENSMUSP00000084373,ENSMUSG00000036435,Exoc1,LOCAL,21.83,0,1,1,0
ENSMUSP00000045948,ENSMUSG00000036285,Noa1,LOCAL,26.73,0,1,1,0
ENSMUSP00000031160,ENSMUSG00000029247,Paics,LOCAL,25.23,0,1,0,1
ENSMUSP00000031167,ENSMUSG00000029250,Polr2b,LOCAL,19.48,0.005,1,0,0
ENSMUSP00000066736,ENSMUSG00000052296,Ppp6r1,DISTANT,16.57,0.07,1,0,0
ENSMUSP00000034756,ENSMUSG00000032231,Anxa2,DISTANT,18.49,0.014,1,0,0
ENSMUSP00000108940,ENSMUSG00000029273,Sult1d1,LOCAL,39.15,0,1,1,1
ENSMUSP00000078740,ENSMUSG00000029268,Ugt2a1,LOCAL,35.01,0,1,1,0
ENSMUSP00000031199,ENSMUSG00000029269,Sult1b1,LOCAL,36.48,0,1,1,1
ENSMUSP00000044144,ENSMUSG00000035505,Cox18,LOCAL,59.61,0,1,1,1
ENSMUSP00000108804,ENSMUSG00000029369,Afm,LOCAL,35.65,0,1,1,1
ENSMUSP00000031317,ENSMUSG00000029370,Rassf6,LOCAL,31.65,0,1,1,0
ENSMUSP00000077972,ENSMUSG00000044221,Grsf1,LOCAL,28.58,0,1,1,1
ENSMUSP00000047449,ENSMUSG00000033124,Atg9a,DISTANT,18.52,0.013,1,0,0
ENSMUSP00000031345,ENSMUSG00000029397,Rchy1,LOCAL,33.11,0,1,1,0
ENSMUSP00000108726,ENSMUSG00000029413,Naaa,LOCAL,23.75,0,1,1,0
ENSMUSP00000031377,ENSMUSG00000029426,Scarb2,LOCAL,17.9,0.023,1,0,0
ENSMUSP00000055267,ENSMUSG00000045314,Sowahb,LOCAL,24.8,0,1,1,0
ENSMUSP00000074293,ENSMUSG00000058013,11-Sep,LOCAL,37.72,0,1,1,1
ENSMUSP00000046540,ENSMUSG00000034826,Nup54,LOCAL,20.58,0.002,1,0,0
ENSMUSP00000054322,ENSMUSG00000047963,Stbd1,LOCAL,20.15,0.002,1,0,0
ENSMUSP00000037970,ENSMUSG00000034663,Bmp2k,LOCAL,21.81,0,1,1,0
ENSMUSP00000037046,ENSMUSG00000029486,Mrpl1,LOCAL,17.27,0.04,1,1,0
ENSMUSP00000031447,ENSMUSG00000029484,Anxa3,LOCAL,18.59,0.012,1,1,0
ENSMUSP00000013759,ENSMUSG00000008200,Fnbp4,DISTANT,17.22,0.042,1,0,0
ENSMUSP00000031250,ENSMUSG00000029310,Nudt9,LOCAL,19.26,0.005,1,1,1
ENSMUSP00000092138,ENSMUSG00000057315,Arhgap24,LOCAL,43.54,0,1,1,0
ENSMUSP00000108508,ENSMUSG00000029314,Agpat9,LOCAL,48.31,0,1,1,1
ENSMUSP00000052607,ENSMUSG00000043940,Wdfy3,LOCAL,31.64,0,1,1,1
ENSMUSP00000036705,ENSMUSG00000062234,Gak,LOCAL,25.04,0,1,0,0
ENSMUSP00000051222,ENSMUSG00000050856,Atp5k,LOCAL,16.16,0.096,1,0,0
ENSMUSP00000031251,ENSMUSG00000029311,Hsd17b11,LOCAL,44.55,0,1,1,1
ENSMUSP00000084041,ENSMUSG00000034462,Pkd2,LOCAL,75.89,0,1,1,1
ENSMUSP00000098520,ENSMUSG00000092021,Gbp11,LOCAL,56.22,0,1,1,1
ENSMUSP00000098521,ENSMUSG00000029298,Gbp9,LOCAL,31.93,0,1,1,1
ENSMUSP00000108422,ENSMUSG00000034528,Hsd17b13,LOCAL,27.48,0,1,1,1
ENSMUSP00000036983,ENSMUSG00000038526,Car14,DISTANT,17.14,0.045,1,0,0
ENSMUSP00000080854,ENSMUSG00000058558,Rpl5,LOCAL,58.57,0,1,1,0
ENSMUSP00000071577,ENSMUSG00000033540,Idua,LOCAL,33.15,0,1,1,1
ENSMUSP00000108261,ENSMUSG00000011831,Evi5,LOCAL,45.28,0,1,1,1
ENSMUSP00000114845,ENSMUSG00000011831,Evi5,LOCAL,45.28,0,1,1,1
ENSMUSP00000031189,ENSMUSG00000029263,Pigg,LOCAL,28.32,0,1,1,0
ENSMUSP00000033775,ENSMUSG00000031402,Mpp1,DISTANT,18.12,0.02,1,0,0
ENSMUSP00000031478,ENSMUSG00000029504,Ddx51,LOCAL,29.6,0,1,1,0
ENSMUSP00000031483,ENSMUSG00000029507,Pus1,LOCAL,34.81,0,1,1,1
ENSMUSP00000062811,ENSMUSG00000043510,Hscb,LOCAL,24.41,0,1,1,1
ENSMUSP00000031472,ENSMUSG00000029499,Pxmp2,LOCAL,19.11,0.007,1,0,0
ENSMUSP00000049038,ENSMUSG00000029505,Ep400,LOCAL,16.37,0.083,1,0,0
ENSMUSP00000046506,ENSMUSG00000041841,Rpl37,DISTANT,30.18,0,1,1,0
ENSMUSP00000073652,ENSMUSG00000029577,Ube3b,LOCAL,32.64,0,1,1,0
ENSMUSP00000012028,ENSMUSG00000011884,Gltp,LOCAL,27.81,0,1,1,1
ENSMUSP00000099638,ENSMUSG00000041870,Ankrd13a,LOCAL,27.44,0,1,0,0
ENSMUSP00000031474,ENSMUSG00000029501,Ankle2,LOCAL,17.13,0.045,1,0,1
ENSMUSP00000115090,ENSMUSG00000029536,Gatc,LOCAL,28.01,0,1,1,0
ENSMUSP00000048001,ENSMUSG00000041733,Coq5,LOCAL,45.44,0,1,1,0
ENSMUSP00000031538,ENSMUSG00000029559,2210016L21Rik,LOCAL,45.68,0,1,1,1
ENSMUSP00000107698,ENSMUSG00000029524,Sirt4,LOCAL,32.57,0,1,1,1
ENSMUSP00000031524,ENSMUSG00000029545,Acads,LOCAL,22.12,0,1,0,1
ENSMUSP00000069624,ENSMUSG00000029528,Pxn,LOCAL,44.07,0,1,1,0
ENSMUSP00000069432,ENSMUSG00000041638,Gcn1l1,LOCAL,32.85,0,1,1,0
ENSMUSP00000115802,ENSMUSG00000029516,Cit,LOCAL,32.83,0,1,1,0
ENSMUSP00000107630,ENSMUSG00000029513,Prkab1,LOCAL,24.4,0,1,0,1
ENSMUSP00000083662,ENSMUSG00000066900,Suds3,LOCAL,30.57,0,1,0,0
ENSMUSP00000048425,ENSMUSG00000032959,Pebp1,LOCAL,71.43,0,1,1,1
ENSMUSP00000084661,ENSMUSG00000033327,Tnxb,DISTANT,16.3,0.087,1,0,0
ENSMUSP00000051222,ENSMUSG00000050856,Atp5k,DISTANT,19.41,0.005,1,0,0
ENSMUSP00000063872,ENSMUSG00000026594,Ralgps2,DISTANT,17.42,0.035,1,0,0
ENSMUSP00000048345,ENSMUSG00000042744,Gm15800,LOCAL,19.18,0.006,1,0,1
ENSMUSP00000031590,ENSMUSG00000029594,Rbm19,LOCAL,21.6,0.001,1,1,0
ENSMUSP00000031398,ENSMUSG00000029445,Hpd,LOCAL,16.48,0.077,1,0,0
ENSMUSP00000047475,ENSMUSG00000042726,Trafd1,LOCAL,31.2,0,1,1,1
ENSMUSP00000117347,ENSMUSG00000029616,Erp29,LOCAL,17.63,0.03,1,0,1
ENSMUSP00000031414,ENSMUSG00000029458,Brap,LOCAL,43.36,0,1,1,1
ENSMUSP00000031412,ENSMUSG00000029456,Acad10,LOCAL,58.79,0,1,1,1
ENSMUSP00000046497,ENSMUSG00000042647,Acad12,LOCAL,72.86,0,1,1,1
ENSMUSP00000031351,ENSMUSG00000029404,Arl6ip4,LOCAL,24.03,0,1,1,0
ENSMUSP00000031334,ENSMUSG00000029388,Eif2b1,LOCAL,24.16,0,1,0,0
ENSMUSP00000113928,ENSMUSG00000029466,Anapc7,LOCAL,35.5,0,1,1,0
ENSMUSP00000083393,ENSMUSG00000029472,Anapc5,LOCAL,34.86,0,1,1,0
ENSMUSP00000031429,ENSMUSG00000029470,P2rx4,LOCAL,40.59,0,1,1,1
ENSMUSP00000031435,ENSMUSG00000029475,Kdm2b,LOCAL,62.87,0,1,1,0
ENSMUSP00000124740,ENSMUSG00000029406,Pitpnm2,LOCAL,18.97,0.007,1,0,1
ENSMUSP00000098295,ENSMUSG00000029440,Psmd9,LOCAL,52.63,0,1,1,1
ENSMUSP00000031376,ENSMUSG00000029427,Zcchc8,LOCAL,19.49,0.005,1,0,1
ENSMUSP00000031388,ENSMUSG00000029434,Vps33a,LOCAL,59.76,0,1,1,0
ENSMUSP00000115045,ENSMUSG00000029433,Diablo,LOCAL,51.4,0,1,1,1
ENSMUSP00000042188,ENSMUSG00000032741,Tpcn1,LOCAL,17.33,0.039,1,0,1
ENSMUSP00000066808,ENSMUSG00000038095,Sbno1,LOCAL,22.43,0,1,1,0
ENSMUSP00000076594,ENSMUSG00000047635,2810006K23Rik,LOCAL,21.13,0.001,1,1,1
ENSMUSP00000107192,ENSMUSG00000049550,Clip1,LOCAL,23.07,0,1,1,1
ENSMUSP00000122064,ENSMUSG00000049550,Clip1,LOCAL,23.07,0,1,1,0
ENSMUSP00000083242,ENSMUSG00000037936,Scarb1,LOCAL,27.31,0,1,1,0
ENSMUSP00000000939,ENSMUSG00000000915,Hip1r,LOCAL,17.49,0.033,1,1,1
ENSMUSP00000037609,ENSMUSG00000037905,Bri3bp,LOCAL,41.3,0,1,1,1
ENSMUSP00000131734,ENSMUSG00000029480,Dhx37,LOCAL,29.69,0,1,1,0
ENSMUSP00000099584,ENSMUSG00000029465,Arpc3,LOCAL,16.66,0.066,1,0,0
ENSMUSP00000054834,ENSMUSG00000029390,Tmed2,LOCAL,17.38,0.037,1,0,0
ENSMUSP00000051366,ENSMUSG00000042642,Flad1,DISTANT,19.41,0.005,1,0,0
ENSMUSP00000073601,ENSMUSG00000066735,Vkorc1l1,LOCAL,20.24,0.002,1,1,0
ENSMUSP00000037173,ENSMUSG00000056310,Tyw1,LOCAL,16.2,0.094,1,0,0
ENSMUSP00000103940,ENSMUSG00000037563,Rps16,DISTANT,46.82,0,1,1,0
ENSMUSP00000031367,ENSMUSG00000029416,Slc15a4,LOCAL,28.45,0,1,1,0
ENSMUSP00000112779,ENSMUSG00000034211,Mrps17,LOCAL,50.13,0,1,1,0
ENSMUSP00000083211,ENSMUSG00000029432,Gbas,LOCAL,26.04,0,1,1,1
ENSMUSP00000114103,ENSMUSG00000025340,Rabgef1,LOCAL,17.31,0.04,1,0,0
ENSMUSP00000126036,ENSMUSG00000025538,Sumf2,LOCAL,45.95,0,1,1,1
ENSMUSP00000031399,ENSMUSG00000029446,Psph,LOCAL,53.84,0,1,1,1
ENSMUSP00000026613,ENSMUSG00000025534,Gusb,LOCAL,28.44,0,1,1,1
ENSMUSP00000112571,ENSMUSG00000034118,Tpst1,LOCAL,42.07,0,1,1,1
ENSMUSP00000031402,ENSMUSG00000029447,Cct6a,LOCAL,61.99,0,1,1,1
ENSMUSP00000028995,ENSMUSG00000027495,Fam210b,DISTANT,16.82,0.056,1,0,0
ENSMUSP00000075581,ENSMUSG00000061979,Wbscr16,LOCAL,25.41,0,1,0,0
ENSMUSP00000023867,ENSMUSG00000023104,Rfc2,LOCAL,36.17,0,1,1,0
ENSMUSP00000138121,ENSMUSG00000015950,Ncf1,LOCAL,16.57,0.07,1,1,0
ENSMUSP00000015138,ENSMUSG00000029675,Eln,LOCAL,20.65,0.001,1,0,0
ENSMUSP00000019986,ENSMUSG00000019841,Rev3l,DISTANT,17.5,0.033,1,0,0
ENSMUSP00000049625,ENSMUSG00000060261,Gtf2i,LOCAL,18.59,0.012,1,1,0
ENSMUSP00000039080,ENSMUSG00000040557,Wbscr27,LOCAL,60.39,0,1,1,1
ENSMUSP00000106847,ENSMUSG00000040532,Abhd11,LOCAL,16.65,0.066,1,0,1
ENSMUSP00000115011,ENSMUSG00000005374,Tbl2,LOCAL,47.64,0,1,1,1
ENSMUSP00000005507,ENSMUSG00000005373,Mlxipl,LOCAL,16.82,0.057,1,0,0
ENSMUSP00000083146,ENSMUSG00000005378,Wbscr22,LOCAL,28.09,0,1,0,0
ENSMUSP00000095025,ENSMUSG00000062078,Qk,DISTANT,20.4,0.002,1,0,0
ENSMUSP00000045252,ENSMUSG00000039886,Tmem120a,LOCAL,20.2,0.002,1,1,1
ENSMUSP00000084466,ENSMUSG00000026174,Rqcd1,DISTANT,16.47,0.077,1,0,0
ENSMUSP00000004968,ENSMUSG00000004846,Plod3,LOCAL,25.98,0,1,1,1
ENSMUSP00000043123,ENSMUSG00000037364,Srrt,LOCAL,26.9,0,1,0,0
ENSMUSP00000051622,ENSMUSG00000029710,Ephb4,LOCAL,38.2,0,1,1,0
ENSMUSP00000031741,ENSMUSG00000029727,Cyp3a13,LOCAL,74.17,0,1,1,1
ENSMUSP00000038559,ENSMUSG00000037053,Azgp1,LOCAL,30.55,0,1,1,0
